s.G18	s.G19	s.G20	index	stat	p.value
OTU3233	1	0	0	1	0.460137402204226	0.001
OTU1707	1	0	0	1	0.464826332852553	0.003
OTU1942	0	0	1	3	0.739995891804282	0.001
OTU1782	0	1	0	2	0.69467763939207	0.001
OTU98	0	1	0	2	0.265321436564076	0.005
OTU2173	1	0	0	1	0.542256962546918	0.001
OTU2111	1	0	0	1	0.474270593375634	0.001
OTU1700	1	0	0	1	0.459313815785624	0.001
OTU941	0	0	1	3	0.956796490413306	0.001
OTU1965	0	0	1	3	0.979472335607271	0.001
OTU751	1	0	0	1	0.432697820870955	0.001
OTU3010	0	0	1	3	0.318699515780019	0.008
OTU805	1	0	0	1	0.715906690831704	0.001
OTU1180	0	0	1	3	0.744271736719072	0.001
OTU1757	0	0	1	3	0.730668484209224	0.001
OTU3351	0	0	1	3	0.557467712431906	0.001
OTU2005	0	0	1	3	0.947865983518187	0.001
OTU2227	0	1	0	2	0.615231603342358	0.001
OTU400	1	0	0	1	0.228085776380912	0.005
OTU1883	0	0	1	3	0.54405685280126	0.001
OTU1011	0	0	1	3	0.242605076689384	0.006
OTU2189	1	0	0	1	0.609400541640587	0.001
OTU2321	0	0	1	3	0.383356329096412	0.001
OTU1295	0	0	1	3	0.504482278206882	0.001
OTU1677	0	0	1	3	0.945039232028527	0.001
OTU434	0	1	0	2	0.347764321461137	0.007
OTU529	0	1	0	2	0.575612170826083	0.001
OTU740	0	1	0	2	0.596104531250998	0.001
OTU2004	0	0	1	3	0.935674119214989	0.001
OTU2238	0	0	1	3	0.876383498560008	0.001
OTU2091	0	1	0	2	0.432401724937461	0.001
OTU1335	0	0	1	3	0.39959971319076	0.007
OTU38	0	0	1	3	0.316769670429225	0.009
OTU2324	0	0	1	3	0.66119214544027	0.001
OTU1779	0	0	1	3	0.696604315342526	0.001
OTU1181	0	0	1	3	0.596080561409642	0.001
OTU2000	0	0	1	3	0.934323932683986	0.001
OTU3227	0	1	0	2	0.318930132719332	0.007
OTU350	0	1	0	2	0.316788241923209	0.005
OTU1633	1	0	0	1	0.342527056247584	0.001
OTU615	0	1	0	2	0.525820807115178	0.001
OTU2278	1	0	0	1	0.430177990908726	0.001
OTU1063	0	1	0	2	0.578473943398443	0.001
OTU3246	1	0	0	1	0.460202286042209	0.001
OTU2441	0	0	1	3	0.376919041774435	0.002
OTU1281	0	0	1	3	0.825053677595672	0.001
OTU1080	1	0	0	1	0.240423518417172	0.003
OTU775	0	1	0	2	0.354662115253106	0.003
OTU1320	0	1	0	2	0.336221404066786	0.008
OTU1139	0	1	0	2	0.854983071821271	0.001
OTU1245	0	1	0	2	0.385037589831291	0.001
OTU3364	0	0	1	3	0.498704828580458	0.001
OTU286	0	1	0	2	0.332359747556308	0.001
OTU1839	0	1	0	2	0.362076950118549	0.002
OTU545	0	0	1	3	0.44643868083311	0.002
OTU2474	0	0	1	3	0.529954541221132	0.001
OTU2025	0	1	0	2	0.597301369594474	0.001
OTU1474	0	0	1	3	0.437707666308307	0.001
OTU1693	0	0	1	3	0.911728271249747	0.001
OTU1510	0	0	1	3	0.562957405654648	0.001
OTU2415	1	0	0	1	0.372032858868661	0.009
OTU276	0	0	1	3	0.407698901565513	0.002
OTU2059	1	0	0	1	0.348285932609275	0.004
OTU353	0	1	0	2	0.523535204363719	0.001
OTU1824	1	0	0	1	0.341613459131447	0.003
OTU3035	0	0	1	3	0.36764619171333	0.002
OTU1684	0	1	0	2	0.329080855873842	0.001
OTU1379	0	1	0	2	0.912458079992157	0.001
OTU398	0	0	1	3	0.34035275596465	0.001
OTU2366	0	1	0	2	0.362947982246443	0.001
OTU2436	0	1	0	2	0.556059838446666	0.001
OTU2200	0	1	0	2	0.616765597080813	0.001
OTU1766	0	1	0	2	0.464247477080337	0.001
OTU1401	0	1	0	2	0.44367022917982	0.001
OTU357	0	1	0	2	0.318485401306619	0.002
