ID	taxanomy
AB773887.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. ARI-3
AB773889.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. KWS1-4
AB773890.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. JZN-4
AB774230.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. OGN2-4
AB774231.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. OGA-1
AB774234.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. NIK-1
AB774235.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. NIK-2
AB774236.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. NIK-3
AB774237.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. NIN-5
AB819068.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB819069.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB819070.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB819072.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB819078.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB819081.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB819082.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB819088.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Panellus;species__Panellus edulis
AB819092.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB819093.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Sarcomyxa;species__Sarcomyxa edulis
AB828584.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Aspergillus;species__Aspergillus ruber
AB854083.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Panellus;species__Panellus edulis
AB854086.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Panellus;species__Panellus edulis
AB854089.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;family__Mycenaceae;genus__Panellus;species__Panellus edulis
AB916514.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium sp. PG290
AB968397.1	kingdom__Fungi;phylum__Ascomycota;class__Sordariomycetes;order__Hypocreales;family__Ophiocordycipitaceae;genus__Ophiocordyceps;species__Ophiocordyceps coenomyia
AB975286.1	kingdom__Fungi;phylum__Ascomycota;class__Dothideomycetes;order__Pleosporales;family__Pleosporaceae;genus__Alternaria;species group__Alternaria alternata complex;species__Alternaria alternata
AB998476.1	kingdom__Fungi;phylum__Ascomycota;class__Saccharomycetes;order__Saccharomycetales;family__Metschnikowiaceae;genus__Metschnikowia;species__Metschnikowia sp. JSKim-2014
AC277199.1	kingdom__Fungi;phylum__Ascomycota;class__Dothideomycetes;order__Pleosporales;family__Pleosporaceae;genus__Bipolaris;species__Bipolaris maydis
AC277564.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Bondarzewiaceae;genus__Heterobasidion;species__Heterobasidion irregulare
AF033413.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium cvjetkovicii
AF033452.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium turbatum
AF033456.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium citreonigrum
AF033462.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium rubidurum
AF033473.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium echinulatum
AF033477.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium viridicatum
AF034458.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium decumbens
AF037431.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium pimiteouiense
AF042430.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Tremellaceae;genus__Tremella;species__Tremella exigua
AF081804.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium dimorphosporum
AF125942.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium sp. NRRL 28148
AF218997.1	kingdom__Fungi;phylum__Ascomycota;class__Saccharomycetes;order__Saccharomycetales;family__Saccharomycetaceae;genus__Kluyveromyces;species__Kluyveromyces marxianus
AF261281.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Auriscalpium;species__Auriscalpium vulgare
AF348419.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium commune
AF397239.1	kingdom__Fungi;phylum__Ascomycota;class__Dothideomycetes;order__Pleosporales;family__Pleosporaceae;genus__Alternaria;species__Alternaria infectoria
AF444330.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Sirobasidiaceae;genus__Sirobasidium;species__Sirobasidium intermedium
AF444332.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. CBS 7890
AF444442.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Rhynchogastremataceae;genus__Papiliotrema;species__Papiliotrema pseudoalba
AF454427.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Lentinellus;species__Lentinellus subaustralis
AF454429.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Auriscalpium;species__Auriscalpium villipes
AF454430.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Auriscalpium;species__Auriscalpium vulgare
AF455467.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium commune
AF484467.1	kingdom__Fungi;phylum__Ascomycota;class__Sordariomycetes;order__Ophiostomatales;family__Ophiostomataceae;genus__Sporothrix;species__Sporothrix schenckii
AF506389.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Dentipratulum;species__Dentipratulum bialoviesense
AF506402.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Corticiales;family__Corticiaceae;genus__Aleurocystidiellum;species__Aleurocystidiellum disciforme
AF506403.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Corticiales;family__Corticiaceae;genus__Aleurocystidiellum;species__Aleurocystidiellum subcruentatum
AF506414.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Russulaceae;genus__Lactarius;species__Lactarius volemus
AF506415.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Lentinellus;species__Lentinellus auricula
AF506416.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Lentinellus;species__Lentinellus castoreus
AF506417.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Lentinellus;species__Lentinellus cochleatus
AF506419.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Lentinellus;species__Lentinellus ursinus
AF506423.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Corticiales;family__Corticiaceae;genus__Metulodontia;species__Metulodontia nivea
AF506428.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Lachnocladiaceae;genus__Dichostereum;species__Dichostereum aff. pallescens KHL10258
AF506429.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Lachnocladiaceae;genus__Dichostereum;species__Dichostereum durum
AF506450.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Russulales;family__Auriscalpiaceae;genus__Gloiodon;species__Gloiodon nigrescens
AF506466.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Agaricales;genus__Baltazaria;species__Baltazaria galactina
AF511437.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Polyporales;family__Polyporaceae;genus__Polyporus;species__Polyporus tubiformis
AF511438.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Polyporales;family__Polyporaceae;genus__Polyporus;species__Polyporus tubiformis
AF511439.1	kingdom__Fungi;phylum__Basidiomycota;class__Agaricomycetes;order__Polyporales;family__Polyporaceae;genus__Polyporus;species__Polyporus tubiformis
