Generation	Sex	Color	Diet	Weight	Spleen	ANA100	Cholesterol	HDL	LDL	wt2Month	wt4month	wt6month	Steatosis	Ballooning	NAFLD	NASH	CRP.Conc	CRP	WBC	NE	LY	MO	EO	BA	NEperc	LYperc	MOperc	EOperc	BAperc	RBC	HB	HCT	MCV	MCH	MCHC	RDW	PLT	MPV	G0	G1	G2	G1S1	G2S1	G2S2	termGal	Gal	Sial	Sialbygal	MonoGal	biGal	IgA	IgG	IgM	AGM	AGbyM	AG	AbyG	AbyM	GbyM
31861	18	0	brown	0	23	NA	0	133.864531	72.02767998	68.56782342	18.2	23.5	23	0	0	0	0	9.89	3.53	0.963	-0.916	0.688	-2.397	-2.198	4.94	3.896	5745.64	1.825	1.426	0.419	6.05	2.739	29.8	0.02	3.521	25.2	2.791	6.286	0.169	54.7610600548033	32.6785058506158	3.57615968732125	5.21212209520822	3.47465040698868	0.29750190496154	36.2546655380265	45.2389399451958	8.98427440715711	0.187207131364001	37.8906279458188	7.34831199936678	0.8757	-0.377	-1.1773	0.4355	3.4155	1.9255	-0.6407	2.1323	2.7732
31862	18	1	black	1	29.3	0.075	0	191.0826041	97.01315136	77.47465368	24.5	28.7	29.3	0	0	0	0	9.49	3.34	1.491	-2.813	1.452	-2.198	-6.908	31.62	1.158	9244.823	1.575	-3.194	-6.908	5.26	2.588	24.5	0.021	3.564	27.3	3.049	5.866	0.227	47.0791752244898	40.2037493487866	4.96204742381391	3.80316261226225	3.70623591099584	0.245629479555868	45.1657967725966	52.9208247755105	7.75502800282875	0.143984389716429	44.0069119610545	8.91391281435997	-0.9675	0.2179	-1.1773	-0.7465	2.2335	0.7435	-2.313	0.7052	3.0183
31863	18	1	black	1	23.9	0.061	1	108.8527008	122.76257	24.16432752	20.4	24.1	23.9	NA	NA	NA	NA	8.13	2.93	1.212	-2.813	1.16	-2.198	-6.908	31.62	1.296	9021.2	1.817	-2.976	-6.908	5.13	2.569	23.6	0.022	3.592	28	3.329	5.823	0.204	50.6890771492898	36.3129066857866	4.65811234531391	4.23653602146225	3.85177311639584	0.251594681755868	40.9710190310966	49.3109228507105	8.33990381962875	0.167887440116429	40.5494427072545	8.76148014345997	NA	NA	NA	NA	NA	NA	NA	NA	NA
31864	18	1	brown	1	33.6	0.084	0	176.4536858	115.7582171	35.23326113	24.2	31	33.6	0	0	0	0	NA	5.74	1.573	-0.868	1.44	-1.766	-4.51	31.62	2.939	7677.264	1.884	-1.826	-3.474	5.72	2.793	28.1	0.02	3.688	27.8	3.114	5.883	0.213	38.3074685716033	42.2389278192158	7.16571255672125	5.16252306520822	6.82786608228867	0.29750190496154	49.4046403759265	61.6925314283958	12.2878910524571	0.197105824164001	47.4014508844188	14.2910805439668	0.9488	0.5371	-0.8142	1.0996	3.6177	2.3587	-0.9609	1.9579	2.9189
31865	18	1	grey	1	28.6	0.057	1	266.8619039	182.9121322	61.90795507	22.4	25.5	28.6	0	0	0	0	NA	2.92	1.543	-1.238	1.406	-1.234	-4.51	9.53	2.506	7598.609	2.504	-2.198	-1.766	4.99	2.53	18.7	0.027	3.578	34.2	3.02	6.246	0.222	47.3942287334898	36.0951964257866	5.88577950361391	4.86755104986225	5.33187869169584	0.425365595655868	41.9809759293966	52.6057712665105	10.6247953371287	0.202213698216429	40.9627474756545	11.64302379096	NA	NA	NA	NA	NA	NA	NA	NA	NA
31866	18	1	grey	1	21.3	0.055	1	146.7112902	104.9372296	46.9958163	18.1	21	21.3	0	0	0	0	NA	2.05	0.405	-3.507	0.351	-2.976	-6.908	31.62	1.404	8918.914	1.892	-6.908	-6.908	5.13	2.55	23	0.022	3.564	28.3	3.321	5.273	0.217	51.7376353384898	36.4779316889866	4.20890650281391	3.64711374466225	3.74119708259584	0.187215642555868	40.6868381917966	48.2623646615105	7.57552646982875	0.155112127216429	40.1250454335545	8.13731922795997	0.5437	0.0375	0.1677	1.2047	2.4738	1.8392	-1.0686	1.0198	2.0884
31867	18	1	grey	1	25.2	0.193	1	133.6066983	118.2426766	32.83682085	20.8	24.8	25.2	0	0	0	0	NA	3.56	0.932	-1.715	0.779	-3.474	-2.033	5.68	2.674	7334.21	1.105	1.596	0.059	5.99	2.324	22.2	0.027	3	24.3	3.105	6.293	0.167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-0.2558	0.6405	-0.1832	0.611	2.3264	1.4687	-1.9361	0.6239	2.56
31884	18	0	agouti	0	22.5	0.042	0	118.1049586	68.94564634	44.36599853	20.4	22.2	22.5	NA	NA	NA	NA	13.74	11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43.1517154802033	39.7801375658158	7.46894315572125	3.78328818090822	5.51841371238867	0.29750190496154	47.2490807215265	56.8482845197958	9.59920379825711	0.164750381064001	43.5634257467188	13.2848587730668	2.1344	0.3783	-1.2041	1.7042	4.7183	3.2113	0.0225	3.1239	3.1014
31885	18	0	agouti	0	23.7	0.08	0	166.2610192	112.4756171	50.21830512	19.3	21.7	23.7	0	0	0	0	17.64	9.62	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3539	-0.0946	-0.8142	1.153	3.6711	2.412	-0.3869	2.2716	2.6586
31886	18	0	grey	0	30.9	0.072	0	152.4384452	98.31862031	44.81188721	25.9	29.2	30.9	NA	NA	NA	NA	23.38	14.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39.0598421098033	44.8886416138158	7.70385477892125	3.45794673590822	4.59221285658868	0.29750190496154	52.5924963927265	60.9401578901958	8.34766149745711	0.134885071364001	48.3465883497188	12.5935695404668	-5e-04	-0.7819	-0.1144	0.2664	1.8942	1.0803	-1.1524	0.7778	1.9302
