NCMBID	Gender	Father	Mutter	cage
071196	f	050252//be-G19-816	048665//ag-G19-831	F20-251
071228	m	048299//agRG19-806	048827//ag-G19-845	F20-252
071229	m	048299//agRG19-806	048827//ag-G19-845	F20-252
071230	m	048299//agRG19-806	048827//ag-G19-845	F20-252
071231	f	048299//agRG19-806	048827//ag-G19-845	F20-253
071232	f	048299//agRG19-806	048827//ag-G19-845	F20-253
071233	f	048299//agRG19-806	048827//ag-G19-845	F20-253
071234	f	048299//agRG19-806	048827//ag-G19-845	F20-253
071235	f	048299//agRG19-806	048827//ag-G19-845	F20-253
071247	m	048299//agRG19-806	048825//bl-G19-845	F20-254
071248	m	048299//agRG19-806	048825//bl-G19-845	F20-254
071249	m	048299//agRG19-806	048825//bl-G19-845	F20-254
071250	f	048299//agRG19-806	048825//bl-G19-845	F20-255
071251	f	048299//agRG19-806	048825//bl-G19-845	F20-255
071252	f	048299//agRG19-806	048825//bl-G19-845	F20-255
071253	f	048299//agRG19-806	048825//bl-G19-845	F20-255
071254	f	048299//agRG19-806	048825//bl-G19-845	F20-256
071255	f	048299//agRG19-806	048825//bl-G19-845	F20-256
071256	f	048299//agRG19-806	048825//bl-G19-845	F20-256
071278	f	048243//w-G19-802	050291//gr-G19-849	F20-256
071272	f	050308//agRG19-853	048284//blRG19-804	F20-257
071273	f	050308//agRG19-853	048284//blRG19-804	F20-257
071274	f	050308//agRG19-853	048284//blRG19-804	F20-257
071275	f	050308//agRG19-853	048284//blRG19-804	F20-257
071276	m	048243//w-G19-802	050291//gr-G19-849	F20-258
071277	m	048243//w-G19-802	050291//gr-G19-849	F20-258
071279	m	050238//bl-G19-810	048746//agLG19-838	F20-258
071280	f	050238//bl-G19-810	048746//agLG19-838	F20-259
071281	f	050238//bl-G19-810	048746//agLG19-838	F20-259
071282	f	050238//bl-G19-810	048746//agLG19-838	F20-259
071283	f	050238//bl-G19-810	048746//agLG19-838	F20-259
071284	f	050238//bl-G19-810	048746//agLG19-838	F20-259
071285	f	050238//bl-G19-810	048746//agLG19-838	F20-259
048452	m	032296//black	031868//brown	F19-26
048453	m	032296//black	031868//brown	F19-26
071286	f	048450//bl-G19-820	048563//blLRG19-827	F20-260
071287	f	048450//bl-G19-820	048563//blLRG19-827	F20-260
071288	f	048450//bl-G19-820	048563//blLRG19-827	F20-260
071289	f	048450//bl-G19-820	048563//blLRG19-827	F20-260
071290	f	048450//bl-G19-820	048563//blLRG19-827	F20-260
071291	f	048450//bl-G19-820	048563//blLRG19-827	F20-261
071292	f	048450//bl-G19-820	048563//blLRG19-827	F20-261
071293	f	048450//bl-G19-820	048563//blLRG19-827	F20-261
071294	f	048450//bl-G19-820	048563//blLRG19-827	F20-261
071295	f	048450//bl-G19-820	048563//blLRG19-827	F20-261
071296	m	048450//bl-G19-820	048564//blLLG19-827	F20-262
071297	m	048450//bl-G19-820	048564//blLLG19-827	F20-262
071298	m	048450//bl-G19-820	048564//blLLG19-827	F20-262
071299	m	048450//bl-G19-820	048564//blLLG19-827	F20-263
071304	m	050281//bl-G19-841	048317//agLG19-809	F20-263
071305	m	050281//bl-G19-841	048317//agLG19-809	F20-263
071300	f	048450//bl-G19-820	048564//blLLG19-827	F20-264
071301	f	048450//bl-G19-820	048564//blLLG19-827	F20-264
071302	f	048450//bl-G19-820	048564//blLLG19-827	F20-264
071303	f	048450//bl-G19-820	048564//blLLG19-827	F20-264
071306	f	050281//bl-G19-841	048317//agLG19-809	F20-264
048457	f	032296//black	031868//brown	F19-27
048458	f	032296//black	031868//brown	F19-27
048459	f	032296//black	031868//brown	F19-27
048475	f	032317//agoutiL	031877//grey	F19-27
048476	f	032317//agoutiL	031877//grey	F19-27
048467	m	032317//agoutiL	031880//black	F19-28
048472	m	032317//agoutiL	031877//grey	F19-28
048473	m	032317//agoutiL	031877//grey	F19-28
048474	m	032317//agoutiL	031877//grey	F19-28
048481	m	032324//agouti	031890//grey	F19-29
048482	m	032324//agouti	031890//grey	F19-29
048483	m	032324//agouti	031890//grey	F19-29
048484	m	032324//agouti	031890//grey	F19-29
048199	m	031939//agoutiL	032155//grey	F19-3
048200	m	031939//agoutiL	032155//grey	F19-3
048201	m	031939//agoutiL	032155//grey	F19-3
048202	m	031939//agoutiL	032155//grey	F19-3
048485	m	032324//agouti	031890//grey	F19-30
048486	m	032324//agouti	031890//grey	F19-30
048487	m	032324//agouti	031890//grey	F19-30
048490	m	032324//agouti	031891//white	F19-30
048491	m	032324//agouti	031891//white	F19-30
048492	f	032324//agouti	031891//white	F19-31
048493	f	032324//agouti	031891//white	F19-31
048494	f	032324//agouti	031891//white	F19-31
048499	m	032264//black	033839//black	F19-32
048500	m	032264//black	033839//black	F19-32
048504	f	032264//black	033839//black	F19-33
048505	f	032264//black	033839//black	F19-33
048506	f	032264//black	033839//black	F19-33
048510	m	032367//black	031917//greyR	F19-34
048516	m	032367//black	031918//agoutiL	F19-34
048517	m	032367//black	031918//agoutiL	F19-34
048518	m	032367//black	031918//agoutiL	F19-34
048519	m	032367//black	031918//agoutiL	F19-34
048520	m	032367//black	031918//agoutiL	F19-34
048514	f	032367//black	031917//greyR	F19-35
048515	f	032367//black	031917//greyR	F19-35
048521	f	032367//black	031918//agoutiL	F19-35
048522	f	032367//black	031918//agoutiL	F19-35
048527	m	032346//black	033045//beige	F19-36
048528	m	032346//black	033045//beige	F19-36
048529	m	032346//black	033045//beige	F19-36
048533	m	032346//black	033044//grey	F19-36
048534	m	032346//black	033044//grey	F19-37
048535	m	032346//black	033044//grey	F19-37
048536	m	032346//black	033044//grey	F19-37
048537	m	032346//black	033044//grey	F19-37
048538	f	032346//black	033044//grey	F19-38
048539	f	032346//black	033044//grey	F19-38
048540	f	032346//black	033044//grey	F19-38
048541	f	032346//black	033044//grey	F19-38
048542	f	032346//black	033044//grey	F19-38
048548	m	032383//blackL	031935//agouti	F19-39
048549	m	032383//blackL	031935//agouti	F19-39
048550	m	032383//blackL	031935//agouti	F19-39
048213	f	031949//greyL	032075//agouti	F19-4
048214	f	031949//greyL	032075//agouti	F19-4
048223	f	031979//black	032176//agouti	F19-4
048224	f	031979//black	032176//agouti	F19-4
048225	f	031979//black	032176//agouti	F19-4
050181	f	031979//black	032174//black	F19-4
048559	m	033086//black	031947//agoutiLL	F19-40
048560	m	033086//black	031947//agoutiLL	F19-40
048561	m	033086//black	031947//agoutiLL	F19-40
048568	m	033086//black	031946//agoutiLR	F19-40
048565	f	033086//black	031947//agoutiLL	F19-41
048566	f	033086//black	031947//agoutiLL	F19-41
048567	f	033086//black	031947//agoutiLL	F19-41
048573	f	033086//black	031946//agoutiLR	F19-41
048574	f	033086//black	031946//agoutiLR	F19-41
048608	f	032332//blackR	031968//grey	F19-41
048569	m	033086//black	031946//agoutiLR	F19-42
048570	m	033086//black	031946//agoutiLR	F19-42
048571	m	033086//black	031946//agoutiLR	F19-42
048572	m	033086//black	031946//agoutiLR	F19-42
048585	f	032332//blackR	031965//whiteL	F19-43
048586	f	032332//blackR	031965//whiteL	F19-43
048604	f	032332//blackR	031968//grey	F19-43
048605	f	032332//blackR	031968//grey	F19-43
048606	f	032332//blackR	031968//grey	F19-43
048607	f	032332//blackR	031968//grey	F19-43
048600	m	032332//blackR	031968//grey	F19-44
048601	m	032332//blackR	031968//grey	F19-44
048602	m	032332//blackR	031968//grey	F19-44
048603	m	032332//blackR	031968//grey	F19-44
048611	m	032415//beige	031982//blackL	F19-45
048612	m	032415//beige	031982//blackL	F19-45
048613	m	032415//beige	031982//blackL	F19-45
048618	f	032415//beige	031982//blackL	F19-46
048619	f	032415//beige	031982//blackL	F19-46
048620	f	032415//beige	031982//blackL	F19-46
048621	f	032415//beige	031982//blackL	F19-46
048623	m	031857//beige	033852//agouti	F19-47
048624	m	031857//beige	033852//agouti	F19-47
048625	m	031857//beige	033852//agouti	F19-47
048626	m	031857//beige	033852//agouti	F19-47
048627	m	031857//beige	033852//agouti	F19-47
048628	f	031857//beige	033852//agouti	F19-48
048629	f	031857//beige	033852//agouti	F19-48
048630	f	031857//beige	033852//agouti	F19-48
048631	f	031857//beige	033852//agouti	F19-48
048660	m	031876//beige	031993//blackL	F19-49
048661	m	031876//beige	031993//blackL	F19-49
048662	m	031876//beige	031993//blackL	F19-49
048663	m	031876//beige	031993//blackL	F19-49
048217	m	031979//black	032176//agouti	F19-5
048218	m	031979//black	032176//agouti	F19-5
048219	m	031979//black	032176//agouti	F19-5
048669	m	031882//grey	032012//blackL	F19-50
048831	m	032382//black	032319//blackL	F19-50
048832	m	032382//black	032319//blackL	F19-50
048674	f	031882//grey	032012//blackL	F19-51
048675	f	031882//grey	032012//blackL	F19-51
048676	f	031882//grey	032012//blackL	F19-51
048821	f	033087//agouti	033041//agouti	F19-51
048824	f	033087//agouti	033040//black	F19-51
048682	m	033837//black	032052//greyR	F19-52
048688	m	033837//black	032053//greyLR	F19-52
048689	m	033837//black	032053//greyLR	F19-52
048690	m	033837//black	032053//greyLR	F19-52
048687	f	033837//black	032052//greyR	F19-53
048694	f	033837//black	032053//greyLR	F19-53
048695	f	033837//black	032053//greyLR	F19-53
048696	f	033837//black	032053//greyLR	F19-53
048691	m	033837//black	032053//greyLR	F19-54
048692	m	033837//black	032053//greyLR	F19-54
048693	m	033837//black	032053//greyLR	F19-54
048697	f	033837//black	032053//greyLR	F19-55
048698	f	033837//black	032053//greyLR	F19-55
048699	f	033837//black	032053//greyLR	F19-55
048723	f	031980//blackL	032130//blackL	F19-55
048724	f	031980//blackL	032130//blackL	F19-55
048702	m	031899//black	032070//black	F19-56
048703	m	031899//black	032070//black	F19-56
048704	m	031899//black	032070//black	F19-56
048711	m	031899//black	032073//blackLR	F19-56
048712	m	031899//black	032073//blackLR	F19-56
048713	m	031899//black	032073//blackLR	F19-56
048709	f	031899//black	032070//black	F19-57
048710	f	031899//black	032070//black	F19-57
048714	f	031899//black	032073//blackLR	F19-57
048715	f	031899//black	032073//blackLR	F19-57
048716	f	031899//black	032073//blackLR	F19-57
048725	m	031980//blackL	032129//black	F19-58
048726	m	031980//blackL	032129//black	F19-58
048727	m	031980//blackL	032129//black	F19-58
048728	m	031980//blackL	032129//black	F19-58
048729	m	031980//blackL	032129//black	F19-58
048730	f	031980//blackL	032129//black	F19-59
048731	f	031980//blackL	032129//black	F19-59
048732	f	031980//blackL	032129//black	F19-59
048733	f	031980//blackL	032129//black	F19-59
048734	f	031980//blackL	032129//black	F19-59
048735	f	031980//blackL	032129//black	F19-59
048230	m	031987//blackL	032192//grey	F19-6
048231	m	031987//blackL	032192//grey	F19-6
048232	m	031987//blackL	032192//grey	F19-6
048233	m	031987//blackL	032192//grey	F19-6
048234	m	031987//blackL	032192//grey	F19-6
048748	f	032033//blackL	032160//agoutiLR	F19-60
048749	f	032033//blackL	032160//agoutiLR	F19-60
048750	f	032033//blackL	032160//agoutiLR	F19-60
048770	f	032325//agoutiL	032388//beige	F19-60
048771	f	032325//agoutiL	032388//beige	F19-60
048777	f	032325//agoutiL	032393//whiteL	F19-60
048765	m	032325//agoutiL	032388//beige	F19-61
048772	m	032325//agoutiL	032393//whiteL	F19-61
048773	m	032325//agoutiL	032393//whiteL	F19-61
048774	m	032325//agoutiL	032393//whiteL	F19-61
048775	m	032325//agoutiL	032393//whiteL	F19-61
048776	m	032325//agoutiL	032393//whiteL	F19-61
048800	m	031874//black	031873//beige	F19-62
048801	m	031874//black	031873//beige	F19-62
048802	m	031874//black	031873//beige	F19-62
048803	m	031874//black	031873//beige	F19-62
048804	m	031874//black	031873//beige	F19-62
048805	f	031874//black	031873//beige	F19-63
048806	f	031874//black	031873//beige	F19-63
048807	f	031874//black	031873//beige	F19-63
048808	f	031874//black	031873//beige	F19-63
048809	f	031874//black	031873//beige	F19-63
048810	f	031874//black	031873//beige	F19-63
048813	m	033087//agouti	033041//agouti	F19-64
048814	m	033087//agouti	033041//agouti	F19-64
048815	m	033087//agouti	033041//agouti	F19-64
048816	m	033087//agouti	033041//agouti	F19-64
048817	f	033087//agouti	033041//agouti	F19-65
048818	f	033087//agouti	033041//agouti	F19-65
048819	f	033087//agouti	033041//agouti	F19-65
048820	f	033087//agouti	033041//agouti	F19-65
048822	f	033087//agouti	033040//black	F19-65
048823	f	033087//agouti	033040//black	F19-65
048837	f	032382//black	032319//blackL	F19-66
048838	f	032382//black	032319//blackL	F19-66
048839	f	032382//black	032319//blackL	F19-66
048840	f	032382//black	032319//blackL	F19-66
048852	f	031883//greyL	032371//agoutiL	F19-67
048853	f	031883//greyL	032371//agoutiL	F19-67
048854	f	031883//greyL	032371//agoutiL	F19-67
048855	f	031883//greyL	032371//agoutiL	F19-67
048871	f	031883//greyL	032374//agoutiLL	F19-67
048872	f	031883//greyL	032374//agoutiLL	F19-67
050180	m	031979//black	032174//black	F19-68
050203	m	032002//black	032241//blackR	F19-69
050204	m	032002//black	032241//blackR	F19-69
050205	m	032002//black	032241//blackR	F19-69
050207	m	032002//black	032241//blackR	F19-69
048239	f	031987//blackL	032192//grey	F19-7
048240	f	031987//blackL	032192//grey	F19-7
048241	f	031987//blackL	032192//grey	F19-7
048253	f	032015//black	032207//greyL	F19-7
048254	f	032015//black	032207//greyL	F19-7
050236	m	032162//blackL	032300//blackL	F19-70
050237	m	032162//blackL	032300//blackL	F19-70
050250	m	032225//black	032389//beigeL	F19-71
050251	m	032225//black	032389//beigeL	F19-71
050260	m	032296//black	032072//blackR	F19-72
050261	m	032296//black	032072//blackR	F19-72
050269	m	032296//black	032071//blackL	F19-72
050266	f	032296//black	032072//blackR	F19-73
050267	f	032296//black	032072//blackR	F19-73
050268	f	032296//black	032072//blackR	F19-73
050270	f	032296//black	032071//blackL	F19-73
050271	f	032296//black	032071//blackL	F19-73
050272	m	031882//grey	032011//black	F19-74
050273	m	031882//grey	032011//black	F19-74
050274	m	031882//grey	032011//black	F19-74
050275	m	031882//grey	032011//black	F19-74
050276	f	031882//grey	032011//black	F19-75
050277	f	031882//grey	032011//black	F19-75
050278	f	031882//grey	032011//black	F19-75
050312	f	031987//blackL	032390//agouti	F19-75
050313	f	031987//blackL	032390//agouti	F19-75
050314	f	031987//blackL	032390//agouti	F19-75
050329	m	032178//agoutiL	033088//black	F19-76
050330	m	032178//agoutiL	033088//black	F19-76
050331	m	032178//agoutiL	033088//black	F19-76
050332	m	032178//agoutiL	033088//black	F19-76
050333	m	032178//agoutiL	033088//black	F19-76
050334	m	032178//agoutiL	033088//black	F19-76
050336	f	032178//agoutiL	033088//black	F19-77
050337	f	032178//agoutiL	033088//black	F19-77
050339	f	032178//agoutiL	033088//black	F19-77
050341	f	032178//agoutiL	033088//black	F19-77
050348	f	032317//agoutiL	032421//agouti	F19-77
050349	f	032317//agoutiL	032421//agouti	F19-77
050372	f	031915//agouti	031879//greyR	F19-78
050373	f	031915//agouti	031879//greyR	F19-78
050374	f	031915//agouti	031879//greyR	F19-78
050375	f	031915//agouti	031879//greyR	F19-78
050485	m	032033//blackL	032158//agoutiL	F19-79
050486	m	032033//blackL	032158//agoutiL	F19-79
050487	m	032033//blackL	032158//agoutiL	F19-79
048244	m	032015//black	032207//greyL	F19-8
048245	m	032015//black	032207//greyL	F19-8
048246	m	032015//black	032207//greyL	F19-8
048247	m	032015//black	032207//greyL	F19-8
048248	m	032015//black	032207//greyL	F19-8
050488	f	032033//blackL	032158//agoutiL	F19-80
050489	f	032033//blackL	032158//agoutiL	F19-80
050490	f	032033//blackL	032158//agoutiL	F19-80
050491	f	032033//blackL	032158//agoutiL	F19-80
050492	f	032033//blackL	032158//agoutiL	F19-80
050493	m	032382//black	032318//black	F19-81
050494	m	032382//black	032318//black	F19-81
050495	m	032382//black	032318//black	F19-81
050496	m	032382//black	032318//black	F19-81
050497	m	032382//black	032318//black	F19-81
050498	f	032382//black	032318//black	F19-82
050499	f	032382//black	032318//black	F19-82
050500	f	032382//black	032318//black	F19-82
050501	f	032382//black	032318//black	F19-82
050504	m	032324//agouti	032349//grey	F19-83
050505	m	032324//agouti	032349//grey	F19-83
050506	m	032324//agouti	032349//grey	F19-83
050507	m	032324//agouti	032349//grey	F19-83
050508	m	032324//agouti	032349//grey	F19-83
050509	f	032324//agouti	032349//grey	F19-84
050510	f	032324//agouti	032349//grey	F19-84
050511	f	032324//agouti	032349//grey	F19-84
068436	m	050209//wh-G19805	050371//brLLG19-856	F20-85
068437	m	050209//wh-G19805	050371//brLLG19-856	F20-85
068438	m	050209//wh-G19805	050371//brLLG19-856	F20-85
068439	m	050209//wh-G19805	050371//brLLG19-856	F20-86
068443	m	050209//wh-G19805	050369//gr-G19-856	F20-86
068444	m	050209//wh-G19805	050369//gr-G19-856	F20-86
068440	f	050209//wh-G19805	050371//brLLG19-856	F20-87
068441	f	050209//wh-G19805	050371//brLLG19-856	F20-87
068442	f	050209//wh-G19805	050371//brLLG19-856	F20-87
068445	f	050209//wh-G19805	050369//gr-G19-856	F20-87
068446	f	050209//wh-G19805	050369//gr-G19-856	F20-87
068447	f	050209//wh-G19805	050369//gr-G19-856	F20-87
068448	m	048304//blLG19-808	048851//blRG19-847	F20-88
068450	m	048304//blLG19-808	048850//ag-G19-847	F20-88
068451	m	048304//blLG19-808	048850//ag-G19-847	F20-88
068449	f	048304//blLG19-808	048851//blRG19-847	F20-89
068452	f	048304//blLG19-808	048850//ag-G19-847	F20-89
068453	f	048304//blLG19-808	048850//ag-G19-847	F20-89
068454	f	048304//blLG19-808	048850//ag-G19-847	F20-89
068455	f	048304//blLG19-808	048850//ag-G19-847	F20-89
068456	f	048304//blLG19-808	048850//ag-G19-847	F20-89
048264	m	032049//grey	035088//black-	F19-9
048265	m	032049//grey	035088//black-	F19-9
048266	m	032049//grey	035088//black-	F19-9
068459	m	048632//gr-G19-830	048353//bl-G19-814	F20-90
068461	m	048632//gr-G19-830	048353//bl-G19-814	F20-90
068460	m	048632//gr-G19-830	048353//bl-G19-814	F20-90
068462	f	048632//gr-G19-830	048353//bl-G19-814	F20-91
068463	f	048632//gr-G19-830	048353//bl-G19-814	F20-91
068464	f	048632//gr-G19-830	048353//bl-G19-814	F20-91
068465	f	048632//gr-G19-830	048353//bl-G19-814	F20-91
068467	m	050288//bl-G19-849	048892//agLRG19-797	F20-92
068474	m	048497//bl-G19-823	048502//blLG19-823	F20-92
068475	m	048497//bl-G19-823	048502//blLG19-823	F20-92
068468	f	050288//bl-G19-849	048892//agLRG19-797	F20-93
068469	f	050288//bl-G19-849	048892//agLRG19-797	F20-93
068470	f	050288//bl-G19-849	048892//agLRG19-797	F20-93
068471	f	050288//bl-G19-849	048892//agLRG19-797	F20-93
068476	f	048497//bl-G19-823	048502//blLG19-823	F20-94
068477	f	048497//bl-G19-823	048502//blLG19-823	F20-94
068478	f	048497//bl-G19-823	048502//blLG19-823	F20-94
068479	f	048497//bl-G19-823	048502//blLG19-823	F20-94
068480	f	048497//bl-G19-823	048502//blLG19-823	F20-95
068481	f	048497//bl-G19-823	048502//blLG19-823	F20-95
068482	f	048497//bl-G19-823	048502//blLG19-823	F20-95
068483	f	048497//bl-G19-823	048502//blLG19-823	F20-95
068485	m	048525//gr-G19-825	048488//be-G19-822	F20-96
068486	m	048525//gr-G19-825	048489//beLG19-822	F20-96
068487	m	048525//gr-G19-825	048489//beLG19-822	F20-96
068494	m	048558//agLG19-827	048454//bl-G19-820	F20-97
068495	m	048558//agLG19-827	048454//bl-G19-820	F20-97
068496	m	048558//agLG19-827	048454//bl-G19-820	F20-97
068497	m	048558//agLG19-827	048454//bl-G19-820	F20-98
068498	m	048558//agLG19-827	048454//bl-G19-820	F20-98
068500	m	048609//gr-G19-829	048388//bl-G19-818	F20-98
068499	f	048558//agLG19-827	048454//bl-G19-820	F20-99
068501	f	048609//gr-G19-829	048388//bl-G19-818	F20-99
068502	f	048609//gr-G19-829	048388//bl-G19-818	F20-99
068503	f	048609//gr-G19-829	048388//bl-G19-818	F20-99
031929	m	023075//agouti	022571//agoutiL	F18-11
031930	f	023075//agouti	022571//agoutiL	F18-12
031932	f	023075//agouti	022571//agoutiL	F18-12
031933	f	023075//agouti	022571//agoutiL	F18-12
031934	f	023075//agouti	022571//agoutiL	F18-12
031940	f	023057//agoutiL	022592//agoutiR	F18-12
031941	f	023057//agoutiL	022592//agoutiR	F18-12
031942	m	023057//agoutiL	022589//beigeR	F18-13
031943	m	023057//agoutiL	022589//beigeR	F18-13
031944	m	023057//agoutiL	022589//beigeR	F18-13
031952	m	023049//greyL	022603//agoutiR	F18-14
031953	m	023049//greyL	022603//agoutiR	F18-14
031954	m	023049//greyL	022603//agoutiR	F18-14
031955	m	023049//greyL	022603//agoutiR	F18-14
031962	m	023049//greyL	022605//beige	F18-14
031963	m	023049//greyL	022605//beige	F18-14
031956	f	023049//greyL	022603//agoutiR	F18-15
031957	f	023049//greyL	022603//agoutiR	F18-15
031958	f	023049//greyL	022603//agoutiR	F18-15
031959	f	023049//greyL	022603//agoutiR	F18-15
031960	f	023049//greyL	022603//agoutiR	F18-15
031961	f	023049//greyL	022603//agoutiR	F18-15
031969	m	023034//whiteL	022611//beige	F18-16
031970	m	023034//whiteL	022611//beige	F18-16
031971	m	023034//whiteL	022611//beige	F18-16
031972	m	023034//whiteL	022611//beige	F18-16
031973	f	023034//whiteL	022611//beige	F18-17
031974	f	023034//whiteL	022611//beige	F18-17
031975	f	023034//whiteL	022611//beige	F18-17
031976	f	023034//whiteL	022611//beige	F18-17
031977	f	023034//whiteL	022611//beige	F18-17
031978	f	023034//whiteL	022611//beige	F18-17
033849	m	023005//beigeL	022627//grey	F18-73
033850	m	023005//beigeL	022627//grey	F18-73
033851	m	023005//beigeL	022627//grey	F18-73
033046	m	022978//black	022637//blackR	F18-64
033047	m	022978//black	022637//blackR	F18-64
033048	m	022978//black	022637//blackR	F18-64
033049	m	022978//black	022637//blackR	F18-64
033050	m	022978//black	022637//blackR	F18-64
033051	m	022978//black	022637//blackR	F18-64
033052	f	022978//black	022637//blackR	F18-65
033053	f	022978//black	022637//blackR	F18-65
033054	f	022978//black	022637//blackR	F18-65
033055	f	022978//black	022637//blackR	F18-65
033056	f	022978//black	022637//blackR	F18-65
033057	f	022978//black	022637//blackR	F18-65
031988	m	022960//black	022641//blackL	F18-18
031989	m	022960//black	022641//blackL	F18-18
031990	m	022960//black	022641//blackL	F18-18
031991	m	022960//black	022641//blackL	F18-18
031995	f	022960//black	022641//blackL	F18-19
031996	f	022960//black	022641//blackL	F18-19
031997	f	022960//black	022641//blackL	F18-19
032008	m	022923//black	021997//-	F18-21
032009	m	022923//black	021997//-	F18-21
032010	m	022923//black	021997//-	F18-21
032014	m	022923//black	021998//L	F18-21
032017	f	022923//black	021998//L	F18-22
032018	f	022923//black	021998//L	F18-22
032019	f	022923//black	021998//L	F18-22
032020	f	022923//black	021998//L	F18-22
032021	f	022923//black	021998//L	F18-22
032022	f	022923//black	021998//L	F18-22
032037	m	022909//grey	022328//agouti	F18-23
032038	m	022909//grey	022328//agouti	F18-23
032039	m	022909//grey	022328//agouti	F18-23
032040	m	022909//grey	022328//agouti	F18-23
032041	m	022909//grey	022328//agouti	F18-23
032042	f	022909//grey	022328//agouti	F18-24
032043	f	022909//grey	022328//agouti	F18-24
032044	f	022909//grey	022328//agouti	F18-24
032045	f	022909//grey	022328//agouti	F18-24
032046	f	022909//grey	022328//agouti	F18-24
032047	f	022909//grey	022328//agouti	F18-24
032064	m	022879//whiteL	022393//blackL	F18-26
032065	m	022879//whiteL	022393//blackL	F18-26
032066	m	022879//whiteL	022393//blackL	F18-26
032067	m	022879//whiteL	022393//blackL	F18-26
032068	m	022879//whiteL	022393//blackL	F18-26
032069	m	022879//whiteL	022393//blackL	F18-26
032058	f	022879//whiteL	022391//grey	F18-25
032059	f	022879//whiteL	022391//grey	F18-25
032060	f	022879//whiteL	022391//grey	F18-25
032061	f	022879//whiteL	022391//grey	F18-25
032062	f	022879//whiteL	022391//grey	F18-25
032063	f	022879//whiteL	022391//grey	F18-25
032006	f	022863//white	022334//agouti	F18-19
032007	f	022863//white	022334//agouti	F18-19
031998	m	022863//white	022336//blackL	F18-20
031999	m	022863//white	022336//blackL	F18-20
032000	m	022863//white	022336//blackL	F18-20
032001	m	022863//white	022336//blackL	F18-20
032085	m	022840//agouti	022359//grey	F18-28
032086	m	022840//agouti	022359//grey	F18-28
032087	m	022840//agouti	022359//grey	F18-28
032088	m	022840//agouti	022359//grey	F18-28
032089	m	022840//agouti	022359//grey	F18-28
032090	m	022840//agouti	022359//grey	F18-28
032097	f	022840//agouti	022359//grey	F18-29
032098	f	022840//agouti	022359//grey	F18-29
033438	f	022840//agouti	022359//grey	F18-29
033439	f	022840//agouti	022359//grey	F18-29
032123	m	022815//black	022366//grey	F18-31
032124	m	022815//black	022366//grey	F18-31
032125	m	022815//black	022366//grey	F18-31
032126	m	022815//black	022366//grey	F18-31
032127	m	022815//black	022366//grey	F18-31
032128	m	022815//black	022366//grey	F18-31
032135	f	022815//black	022366//grey	F18-32
032136	f	022815//black	022366//grey	F18-32
032137	f	022815//black	022366//grey	F18-32
032138	f	022815//black	022366//grey	F18-32
032139	f	022815//black	022366//grey	F18-32
032140	f	022815//black	022366//grey	F18-32
033058	m	022799//black	023959//agouti	F18-66
033059	m	022799//black	023959//agouti	F18-66
033060	m	022799//black	023959//agouti	F18-66
033061	f	022799//black	023959//agouti	F18-67
033062	f	022799//black	023959//agouti	F18-67
033063	f	022799//black	023959//agouti	F18-67
033064	f	022799//black	023959//agouti	F18-67
032149	f	022787//agouti	022392//black	F18-34
032150	f	022787//agouti	022392//black	F18-34
032151	f	022787//agouti	022392//black	F18-34
032152	f	022787//agouti	022392//black	F18-34
032153	f	022787//agouti	022392//black	F18-34
032154	f	022787//agouti	022392//black	F18-34
032141	m	022787//agouti	022392//black	F18-33
032142	m	022787//agouti	022392//black	F18-33
032143	m	022787//agouti	022392//black	F18-33
032144	m	022787//agouti	022392//black	F18-33
032145	m	022787//agouti	022392//black	F18-33
032074	m	022767//black	022423//agouti	F18-27
032082	m	022767//black	022424//agoutiL	F18-27
032083	m	022767//black	022424//agoutiL	F18-27
032084	m	022767//black	022424//agoutiL	F18-27
032077	m	022767//black	022423//agouti	F18-28
032078	f	022767//black	022423//agouti	F18-28
032079	f	022767//black	022423//agouti	F18-28
032080	m	022767//black	022423//agouti	F18-28
032081	f	022767//black	022423//agouti	F18-28
032164	m	023960//black	022440//beige	F18-35
032165	m	023960//black	022440//beige	F18-35
032166	m	023960//black	022440//beige	F18-35
032167	m	023960//black	022440//beige	F18-35
032168	m	023960//black	022440//beige	F18-35
032169	m	023960//black	022440//beige	F18-35
032170	f	023960//black	022440//beige	F18-36
032171	f	023960//black	022440//beige	F18-36
032172	f	023960//black	022442//greyL	F18-36
032173	f	023960//black	022442//greyL	F18-36
032202	f	022711//black	022475//greyL	F18-38
032203	f	022711//black	022475//greyL	F18-38
032204	f	022711//black	022475//greyL	F18-38
032205	f	022711//black	022475//greyL	F18-38
032216	f	022690//agouti	022503//brown	F18-38
032217	f	022690//agouti	022503//brown	F18-38
032211	m	022690//agouti	022503//brown	F18-39
032212	m	022690//agouti	022503//brown	F18-39
032213	m	022690//agouti	022503//brown	F18-39
032214	m	022690//agouti	022503//brown	F18-39
032215	m	022690//agouti	022503//brown	F18-39
032107	f	023976//black	022544//black	F18-29
032099	m	023976//black	022544//black	F18-30
032100	m	023976//black	022544//black	F18-30
032101	m	023976//black	022544//black	F18-30
032102	m	023976//black	022544//black	F18-30
032103	m	023976//black	022544//black	F18-30
032228	m	022669//black	027235//black	F18-41
032229	m	022669//black	027235//black	F18-41
032230	m	022669//black	027235//black	F18-41
032231	m	022669//black	027235//black	F18-41
032232	m	022669//black	027235//black	F18-41
032233	f	022669//black	027239//blackLL	F18-42
